product_id,label,image,brand_name,class_type,alcohol_content,net_contents,bottler,country,expected_verdict,notes
"gen-white-wine-pass","gen-white-wine-pass","01_compliant_white_wine.png","Harbor & Vine","Dry White Wine","13.5% Alc./Vol.","750 mL","Imported by Harbor Import Co., Seattle, WA","New Zealand","pass","Compliant imported white wine"
"gen-bourbon-pass","gen-bourbon-pass","02_compliant_bourbon.png","Iron Barrel","Straight Bourbon Whiskey","45% Alc./Vol. (90 Proof)","750 mL","Bottled by Iron Barrel Distilling Co., Louisville, KY","United States","pass","Compliant domestic spirit with proof equivalence"
"gen-honey-liqueur-pass","gen-honey-liqueur-pass","03_compliant_honey_liqueur.png","Golden Hive","Honey Liqueur","35% Alc./Vol. (70 Proof)","50 mL","Imported by Golden Hive Imports, Cedar Knolls, NJ","Germany","pass","Compliant liqueur with small net contents"
"gen-tequila-pass","gen-tequila-pass","04_compliant_tequila.png","Mesa Azul","Silver Tequila","40% Alc./Vol. (80 Proof)","750 mL","Imported by Mesa Azul Imports, San Diego, CA","Mexico","pass","Compliant tequila with country inference"
"gen-side-warning-wine-review-or-pass","gen-side-warning-wine-review-or-pass","05_compliant_side_warning_red_wine.png","Cascade Ridge","Red Wine","11.5% Alc./Vol.","750 mL","Produced and bottled by Cascade Ridge Winery, Grand Rapids, MI","United States","pass_or_review","Compliant but warning is drawn sideways for OCR stress"
"gen-missing-warning-fail","gen-missing-warning-fail","06_noncompliant_missing_warning.png","Blue Heron","Silver Tequila","40% Alc./Vol. (80 Proof)","750 mL","Imported by Blue Heron Imports, San Diego, CA","United States","fail","Non-compliant: missing government warning"
"gen-titlecase-warning-fail","gen-titlecase-warning-fail","07_noncompliant_titlecase_warning.png","Iron Ridge","Straight Rye Whiskey","50% Alc./Vol. (100 Proof)","750 mL","Bottled by Iron Ridge Distilling Co., Louisville, KY","United States","fail","Non-compliant: warning heading is title case"
"gen-wrong-abv-fail","gen-wrong-abv-fail","08_noncompliant_wrong_abv.png","Old Mill","Vodka","40% Alc./Vol.","750 mL","Distilled by Old Mill Spirits, Austin, TX","United States","fail","Non-compliant versus manifest: expected 40% but label says 38%"
"gen-missing-net-fail","gen-missing-net-fail","09_noncompliant_missing_net_contents.png","North Orchard","Hard Cider","6.2% Alc./Vol.","355 mL","Produced by North Orchard Cidery, Burlington, VT","United States","fail","Non-compliant: net contents omitted"
"gen-noisy-warning-review","gen-noisy-warning-review","10_noncompliant_noisy_warning_review.png","Honey Ridge","Honey Liqueur","35% Alc./Vol. (70 Proof)","750 mL","Imported by Honey Ridge Imports, New York, NY","Germany","review","OCR-like noisy warning heading should route to review"
